MODEL,COLOUR,HARDIKA OPEING STOCK,PURCHASE,SALE RETURN,01-Mar,02-Mar,03-Mar,04-Mar,05-Mar,06-Mar,07-Mar,08-Mar,09-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,TOTAL SALE ,STOCK IN TRNSCTION,CLSOING STOCK,SCAN STOCK,,,
OPPO A16 (4+64GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A16 (4+64GB),BLUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A16 (4+64GB),GOLD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A16K & E (3+32GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,4,,,
OPPO A16K & E (3+32GB),WHITE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,
OPPO A16K & E (4+64GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,
OPPO A16K & E (4+64GB),BLUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A16K & E (4+64GB),WHITE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A15s (4+128GB),WHITE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,
OPPO A17K (3+64GB),BLUE,25,55,,3,2,4,2,,7,4,,,12,5,,,,,,,,,,,,,,,,,,,,,39,,41,,,,
OPPO A17K (3+64GB),GOLD,35,20,,4,1,4,,,2,3,,,17,1,,,,,,,,,,,,,,,,,,,,,32,20,43,,,,
OPPO A17K (3+64GB),NAVY BLUE,24,30,,,4,5,2,,6,1,,,14,1,,,,,,,,,,,,,,,,,,,,,33,,21,2,,,
OPPO A17 (4+64GB),BLACK,48,,,12,2,7,4,,7,3,,,13,,,,,,,,,,,,,,,,,,,,,,48,,0,4,,,
OPPO A17 (4+64GB),BLUE,52,86,,4,5,13,8,,12,13,,,18,8,,,,,,,,,,,,,,,,,,,,,81,,57,2,,,
OPPO A17 (4+64GB),ORANGE,52,56,,3,3,8,5,,9,3,,,8,6,,,,,,,,,,,,,,,,,,,,,45,,63,2,,,
OPPO A55 (4+128GB),BLACK,28,28,,2,2,4,8,,2,2,,1,9,1,,,,,,,,,,,,,,,,,,,,,31,3,28,,,,
OPPO A55 (4+128GB),BLUE,33,8,,2,2,2,1,,2,1,,2,16,,,,,,,,,,,,,,,,,,,,,,28,,13,,,,
OPPO A55 (4+128GB),GREEN,10,45,,,2,4,1,,4,1,,1,13,2,,,,,,,,,,,,,,,,,,,,,28,5,32,,,,
OPPO A55 (4+64GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,
OPPO A55 (4+64GB),BLUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A55 (4+64GB),GREEN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A55 (6+128GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A55 (6+128GB),BLUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A55 (6+128GB),GREEN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A57 (4+64GB),BLACK,35,31,,9,2,5,4,,3,11,,,11,6,,,,,,,,,,,,,,,,,,,,,51,19,34,1,,,
OPPO A57 (4+64GB),GOLD,42,50,,8,4,6,6,,12,3,,,10,9,,,,,,,,,,,,,,,,,,,,,58,,34,1,,,
OPPO A57 (4+64GB),GREEN,41,,,7,3,7,2,,10,4,,,3,4,,,,,,,,,,,,,,,,,,,,,40,12,13,1,,,
OPPO A76 (6+128GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A76 (6+128GB),BLUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A77 (4+128GB),BLUE,44,33,,,8,3,5,,13,1,,2,25,3,,,,,,,,,,,,,,,,,,,,,60,15,32,,,,
OPPO A77 (4+128GB),ORANGE,20,10,,,2,1,,,5,,,2,6,1,,,,,,,,,,,,,,,,,,,,,17,,13,,,,
OPPO A77s (8+128GB),BLACK,17,10,,,3,4,4,,6,,,,6,1,,,,,,,,,,,,,,,,,,,,,24,5,8,1,,,
OPPO A77s (8+128GB),ORANGE,6,5,,,1,1,2,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,9,,2,,,,
OPPO A78 5G (8+128GB),BLACK,0,34,2,,,5,,,,29,,,,2,,,,,,,,,,,,,,,,,,,,,36,17,17,0,,,
OPPO A78 5G (8+128GB),BLUE,0,43,,,,15,,,4,24,,,,,,,,,,,,,,,,,,,,,,,,,43,,0,0,,,
OPPO A96 (8+128GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A96 (8+128GB),BLUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,
OPPO F21 Pro (8+128GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO F21 Pro (8+128GB),BLUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO F21 Pro (8+128GB),ORANGE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO F21 Pro 5G (8+128GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,
OPPO F21 Pro 5G (8+128GB),RAINBOW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO F21s Pro (8+128GB),BLACK,5,5,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,5,,,,
OPPO F21s Pro (8+128GB),GOLD,21,15,,,,1,4,,5,3,,,2,,,,,,,,,,,,,,,,,,,,,,15,,21,1,,,
OPPO F21s Pro 5G (8+128GB),BLACK,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,,,,
OPPO F21s Pro 5G (8+128GB),GOLD,24,20,,1,,5,2,,6,3,,,6,2,,,,,,,,,,,,,,,,,,,,,25,,19,,,,
OPPO Reno6 Pro 5G (12+256GB),AURORA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO Reno7 5G (8+256GB),BLACK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,,,
OPPO Reno7 5G (8+256GB),BLUE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO Reno8 T 5G (8+128GB),BLACK,0,26,,,,,,,8,10,,1,6,,,,,,,,,,,,,,,,,,,,,,25,1,2,0,,,
OPPO Reno8 T 5G (8+128GB),GOLD,3,23,,3,,4,5,,3,1,,4,6,,,,,,,,,,,,,,,,,,,,,,26,5,5,1,,,
OPPO Reno8 5G (8+128GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO Reno8 5G (8+128GB),GOLD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO RENO 8 PRO (12+256GB),GREEN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO PAD AIR (4+128GB) ,GREY,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,,,,
OPPO Reno7 Pro 5G (12+256GB),BLUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
TOTAL,,574,633,2,58,46,109,66,0,132,122,0,13,203,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,102,510,25,,,
OPPO F5 ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO F5 YOUTH ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO A9 (4+128GB) (MARBLE GREEN),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO F3 ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO F5 (6GB) ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO NEO 5 ,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,,
OPPO F11 (6GB) (PURPLE),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO A5S (2GB) ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO A92020 (8GB) ( GREEN),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
DEMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPPO F9 PRO (DEMO),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO A5S (2GB) (DEMO),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO RENO (6+128GB) (DEMO),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO A54 (4+64GB) (DEMO),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,
OPPO A16K (3+32GB)  (DEMO),,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,,
OPPO A77 (4+64GB) (DEMO),,25,,,,,,5,,,,,6,,,,,5,,,,,,,,,,,,,,,,,,16,,9,,,,
TOTAL,,592,633,2,58,46,109,71,0,132,122,0,19,203,52,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,102,528,25,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB TARGETS,,TARGETS,ACHIEVEMENT,BALANCE,REWARDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMARY >=12K  ,,2420,610,1810,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALEOUT TARGET>14989,,924,258,666,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F21 PRO (8+128GB),,0,,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
