DEALER NAME,LIMITS
Noor Communication ! GREATER NOIDA,25LAKH
S.M TRADER (KASNA) ! GREATER NOIDA,10.5LAKH
S N COMMUNICATION (HALDONI) ! GREATER NOIDA,5LAKH
Jai Ambey Communication ! GREATER NOIDA,11.5LAKH
KGAD MOBIWORLD ! GREATER NOIDA,8LAKH
KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA,10.5LAKH
SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA,7.5LAKH
SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA,5.5LAKH
Shyam Lal & Sons ! GREATER NOIDA,6LAKH
SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA,6LAKH
AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA,7LAKH
Noble Mobile Shope ! GREATER NOIDA,7LAKH
Royal mobile house and electronics ! GREATER NOIDA,6LAKH
I Store ! GREATER NOIDA,5LAKH
BRS ELECTRONICS (KASNA) ! GREATER NOIDA,4.5LAKH
SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,4.5LAKH
Computer Wizard ! GREATER NOIDA,4.5LAKH
BALAJI MOBILE & ELECTRONICS (DADRI) ! GREATER NOIDA,3LAKH
KRISHNA TELECOM (GN) ! GREATER NOIDA,4LAKH
SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA,3.75LAKH
TOMAR ELECTRONICS ! GREATER NOIDA,5LAKH
V.K Mobile Point (HALDONI) ! GREATER NOIDA,4LAKH
KASHISH COMMUNICATION ! GREATER NOIDA,4.5LKAH
NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA,3.5LAKH
Balaji Traders/Greater Noida ! GREATER NOIDA,7LAKH
Anuska mobile center 2 ! GREATER NOIDA,3.5LAKH
Anupam telecom ! GREATER NOIDA,5LAKH
Mobile World (noida) ! GREATER NOIDA,2.5LAKH
PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA,2LAKH
NEW UNIVERSAL OFFICE SYSTEM ! GREATER NOIDA,2.5LAKH
POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA,1.5LAKH
Tanish Telecom(Surajpur) ! GREATER NOIDA,4LAKH
Sanjay Communication(Sec-93) ! GREATER NOIDA,3LAKH
JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA,30000
OM COMMUNICATION ! GREATER NOIDA,
K G N COMMUNICATION ! GREATER NOIDA,2LAKH
PANDEY COMMUNICATION ! GREATER NOIDA,1LAKH
GOEL MOBILE & SAMARTH ELECTRONICS ! GREATER NOIDA,3.5LAKH
ISHU COMMUNICATION ! GREATER NOIDA,30000
Prince Enterpirese ! GREATER NOIDA,30000
SONY ELECTRONICS (SURAJPUR) ! GREATER NOIDA,30000
STAR TELECOM CENTER(GEJHA) ! GREATER NOIDA,2LAKH
A TO Z MOBILE ! GREATER NOIDA,30000
BANSIWALA STORES (GAMMA-2) ! GREATER NOIDA,30000
JAI AMBEY COMMUNICATION ENTERPRISES ! GREATER NOIDA,2LAKH
SHREE RAM MOBILE GALLERY ! GREATER NOIDA,50000
VISHAL MOBILE HOUSE ! GREATER NOIDA,2.5LAKH
BHOOMI MOBILE SOLUTION ! GREATER NOIDA,50000
Famous Mobile Point ! GREATER NOIDA,1LAKH
M.R. COMMUNICATION (KASNA) ! GREATER NOIDA,30000
MOBILE HOTSPOT ! GREATER NOIDA,30000
RAHUL TELECOM (AICHER) ! GREATER NOIDA,30000
SATNAM MOBILE STORE ! GREATER NOIDA,1LAKH
AMAN MOBILE STORE ! GREATER NOIDA,30000
AVNI MOBILE SHOP (AICHER) ! GREATER NOIDA,30000
L K MOBILE POINT ! GREATER NOIDA,30000
PRAVEEN MOBILE CENTER -2 ! GREATER NOIDA,50000
VAISHNAV TELECOM ( ANSAL PLAZA) ! GREATER NOIDA,2.5LAKH
ARISH MOBILE CENTER ! GREATER NOIDA,30000
ATUL TELECOM CENTRE (KASNA) ! GREATER NOIDA,50000
Dev Communication (AICHER) ! GREATER NOIDA,30000
DEV ENTERPRISES. ! GREATER NOIDA,30000
Fauji Telecom(DADRI) ! GREATER NOIDA,30000
JRB TELECOM ! GREATER NOIDA,30000
Keshav Mobile Point(Sec-32) ! GREATER NOIDA,30000
M/S DIVINE COMMUNICATION ! GREATER NOIDA,30000
MAHALAXMI MOBILE POINT ! GREATER NOIDA,30000
MAHALAXMI MOBILE STORE ! GREATER NOIDA,30000
MATRIX NETWORK MOBILE STORE ! GREATER NOIDA,30000
MOBILE SHINGAR (DADRI) ! GREATER NOIDA,30000
NEW RAJDEEP MOBILE POINT (SURAJPUR) ! GREATER NOIDA,30000
PRAVEEN MOBILE CENTRE (SURJPUR) ! GREATER NOIDA,50000
RAJA MOBILE REPAIRING CENTER ! GREATER NOIDA,30000
Rajdeep Mobile Point ! GREATER NOIDA,30000
RANA ENTERPRISES ! GREATER NOIDA,0
SHREE BABA COMMUNICATION (KASNA) ! GREATER NOIDA,30000
Vikky Communication ! GREATER NOIDA,30000
YASH SANCHAR WORLD ! GREATER NOIDA,30000
Ayush Communication ! GREATER NOIDA,0
Mobile Solution ! GREATER NOIDA,0
NEW LAVISH COMM & MOBILE WORLD (HABIBPUR) ! GREATER NOIDA,0
Om Sai Communication( Greater Noida) ! GREATER NOIDA,0
R K TELECOM (TUGALPUR) ! GREATER NOIDA,0
SACHIN TELECOM AND MOBILE SHOP ! GREATER NOIDA,0
SHIV TRADERS (SURAJPUR) ! GREATER NOIDA,0
SHRI SAHIB JI MOBILE SOLUTION (DADRI) ! GREATER NOIDA,0
SUSSHMA MOBILE POINT (TUGALPUR) ! GREATER NOIDA,0
The Mobile Life ! GREATER NOIDA,0
UNIVERSAL MOBILE CAFE ! GREATER NOIDA,0
RINKU MOBILE POINT ! GREATER NOIDA,0