Dealer,Debit,Credit
AARADHYA BHAWAN (AICHER) (OPPO),52120,
AARAV MOBILE GALLERY (GREATER NOIDA) (OPPO),2202.5,
AARAV MOBILE PLAZA (SURAJPUR) (OPPO),,11478.98
ACP COMMUNICATION (OPPO),,3468.99
AMAN MOBILE STORE (TUGALPUR) (OPPO),28253,
AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) (OPPO),698027.12,
ANISH COMMUNICATION(KASNA) (OPPO),29385,
ANKIT TRADERS (TUGALPUR) (OPPO),8350,
ANMOL MOBILE (SURAJPUR) (OPPO),,1731
ANUPAM TELECOM (OPPO),693258.59,
ANUSHKA MOBILE CENTRE (OPPO),458859.98,
APNA TELECOM (MALAKPUR) (OPPO),80416,
A R COMMUNICATION (JAGAT FARM) (OPPO),2783,
ARISH MOBILE CENTRE (OPPO),39784,
ARYAN COMMUNICATION(DADRI)(OPPO),,400
ARYAN ENTERPRISES (DADRI) (OPPO),11730,
A TO Z MOBILE SOLUTION (DADRI) (OPPO),53172,
ATUL TELECOM CENTRE (KASNA) (OPPO),63769,
AVNI MOBILE SHOP (AICHAR) (OPPO),54318.99,
AYUSH COMMUNICATION (OPPO),,9593
BABA MOHANTRAM MOBILE POINT (OPPO),,12907.83
BALAJI COMMUNICATION(GREATER NOIDA)(OPPO),731.48,
BALAJI COMMUNICATION(NAGLA)(OPPO),80,
BALAJI MOBILE ZONE (DADRI) (OPPO),343424,
BALAJI TRADERS (GREATER NOIDA) (OPPO),390646.01,
BANSIWALA STORES (GAMMA-2) (OPPO),62635.98,
BEST GADGETS CENTER (KASNA) (OPPO),,4946
BHOOMI MOBILE SOLUTION (DADRI) (OPPO),22052,
BRIJ MOBILE AND COMPUTER MART (OPPO),,3428
BRS ELECTRONICS (KASNA) (OPPO),459226,
CHIRAG COMMUNICATION (AICHER)(OPPO),,200
CITY MOBILE WORLD(HALDUANI)(OPPO),,300
COMPUTER WIZARD (OPPO),247710.76,
DEEPA MOBILE WORLD (KULESRA) (OPPO),160284,
DEV COMMUNICATION (AICHER) (OPPO),,198
DEV ENTERPRISES (OPPO),73163.11,
DEV MOBILE STORE (BETA-1) (OPPO),11515,
DIVINE COMMUNICATION (ALPHA) (OPPO),87616,
EKTA ELECTRONICS(TUGALPUR)(OPPO),,385
FAMOUS MOBILE POINT (HALDONI) (OPPO),109927,
FAUJI TELECOM (DADRI) (OPPO),24855,
GADGET STORE(OPPO),,489.5
GOEL COMMUNICATION (OPPO),135.02,
GOEL MOBILE & SAMARTH ELECTRONICS (OPPO),65472.99,
ISHU COMMUNICATION (SURAJPUR) (OPPO),37840,
I STOR (OPPO),590973.1,
JAGDAMBA MOBILE HUB (JAGAT FARM) (OPPO),259815.01,
JAI AMBEY COMMUNICATION ENTERPRISES (DADRI) (OPPO),315838,
JAI AMBEY COMMUNICATION (OPPO),1067267.04,
JAI DURGA ENTERPRISES (SURAJPUR) (OPPO),146358,
JCM SMART PHONES SHOP (HABIBPUR) (OPPO),20104,
JRB TELECOM (KASNA) (OPPO),35800,
KAMAL COMMUNICATION (KASNA) (OPPO),27826,
KANIKA COMMUNICATION (HABIBPUR) (OPPO),1019408.02,
KARTIK COMMUNICATION (HABIBPUR) (OPPO),,705
KASHISH COMMUNICATION (KULESHRA) (OPPO),651516,
KESHAV MOBILE POINT (NEW) (OPPO),72072,
KESHAV MOBILE POINT REPAIRING CENTR (SEC-32) (OPPO),0.99,
KGAD MOBIWORLD (GEJHA) (OPPO),1048177.05,
K G N COMMUNICATION (NAYA GAON) (OPPO),22502,
KINGTRONICS INDIA PVT LTD (SURAJPUR) (OPPO),,936
KRISHNA TELECOM (GN) (OPPO),479282.57,
KS MOBILE (DERIN KHERA) (OPPO),31388,
LAXMI ELECTRONICS (KASNA) (OPPO),148446,
LAXMI TELECOM (TUGALPUR) (OPPO),,527
L.K MOBILE POINT (KASNA) (OPPO),,955
LOVE MOBILE CENTER (OPPO),210.01,
LUCKY PHONES(SURAJPUR) (OPPO),79386.1,
MAHALAXMI COMMUNICATION (SEC-68) (OPPO),,3438
MAHALAXMI MOBILE POINT (DADRI) (OPPO),10309.02,
MAHALAXMI MOBILE STORE (DADRI) (OPPO),48520,
MATRIX NETWORK (SURAJPUR) (OPPO),34936,
MOBILE HOTSPOT (AICHAR) (OPPO),61208,
MOBILE SHINGAR (DADRI) (OPPO),,1204
MOBILE SOLUTION (OPPO),,2853
MOBILE WORLD (ANSAL PLAZA) (OPPO),283919.95,
MOBILE WORLD (DADRI) (OPPO),1882,
M.R COMMUNICATION (KASNA) (OPPO),78315.54,
MRK TRADERS (KASNA) (OPPO),28545,
MR MOBILE STORE (JAGAT FARM) (OPPO),12627.01,
MUSKAN TELECOM (KULESRA) (OPPO),1076,
NEELKANTH COMMUNICATION (NAGLA) (OPPO),255,
NEW CHANDANI COMMUNICATION(GEJHA)(OPPO),,200
NEW LAVISH COMM & MOBILE WORLD (HABIBPUR) (OPPO),6186.59,
NEW RADHEY ELECTRONICS & MOBILE CNTR (DEVLA) (OPPO),311812,
NEW RAJDEEP MOBILE POINT (SURAJPUR) (OPPO),73432.8,
NEW SONEX ELECTRONICS (SURAJPUR) (OPPO),,1998
NEW UNIVERSAL OFFICE SYSTEM (OPPO),232090.18,
NOBEL MOBILE SHOPEE (OPPO),585873.95,
NOOR COMMUNICATION (OPPO),2878312.06,
OM COMMUNICATIONS (KULESARA) (OPPO),183045,
OM MOBILE STORE(DADRI)(OPPO),,1579
OM SAI COMMUNICATION (GREATER NOIDA) (OPPO),13332,
OM SAI RAM COMMUNICATION(HABIBPUR)(NEW),,4998
PANDEY COMMUNICATION (OPPO),30884,
PARTHAM COMMUNICATION (KULESRA) (OPPO),237591,
PAWAN MOBILE CENTER (OPPO),,450
POOJA COMMUNICATION (RAMPUR) (NEW) (OPPO),,3117
POOJA TELECOM (RAMPUR) (OPPO),283829,
PRAVEEN MOBILE CENTER-2 (SURAJPUR) (OPPO),38992,
PRAVEEN MOBILE CENTRE (SURAJPUR) (OPPO),779261,
PRINCE ENTERPRISES (GHORI) (OPPO),88249,
PRIYANKA MOBILE WORLD (HALDONI) (OPPO),217383.01,
RAHUL TELECOM (AICHER) (OPPO),24906,
RAJA MOBILE & REPAIR CENTRE (KASNA) (OPPO),31229,
RAJDEEP MOBILE POINT (OPPO),92808.62,
RAM ELECTRONICS AND MOBILE SHOP,61342,
RANA ENTERPRISES (DADRI) (OPPO),22811,
RANI COMMUNICATION (GN) (OPPO),600,
RINKU MOBILE POINT (DADRI) (OPPO),16853,
R K NETWORK ENTERPRISES (DEVLA) (OPPO),149721,
R K TELECOM (TUGALPUR) (NEW) (OPPO),,642
R.K TELECOM(TUGALPUR)(OPPO),,1185
ROYAL MOBILE HOUSE & ELECTRONICS (SURAJPUR) (OPPO),848208.02,
SACHIN ELECTRICAL (AJAIBPUR) (OPPO),493,
SACHIN TELECOM & MOBILE SHOP (DEVLA) (OPPO),,2079
SAIFI COMMUNICATION & MOBILE REPARING CENTRE (OPPO),53619,
SANCHAR BHAWAN (GREATER NOIDA) (OPPO),956581.11,
SANDEEP MOBILE CENTRE (SURAJPUR) (OPPO),,377992.87
SANJAY COMMUNICATION (SEC-93) (OPPO),297865.07,
SATNAM MOBILE STORE (HALDAUNI) (OPPO),68139,
SHAHID COMMUNICATION (SURAJPUR) (OPPO),13115,
SHIDHI MOBILE CARE(WAZIDPUR)(OPPO),,200
SHIVA MOBILE POINT(KULESRA)(OPPO),,13685.5
SHIV MOBILES (DEVLA) (OPPO),208886,
SHIV SHAKTI ELECTRONICS (KASNA) (OPPO),349178.02,
SHIV TELECOM & ELECTRONICS (AICHER) (OPPO),33607,
SHIV TRADERS (SURAJPUR) (OPPO),40979,
SHREE BABA COMMUNICATION (KASNA) (NEW) (OPPO),96018,
SHREE BALAJI COMMUNICATION (SURAJPUR) (OPPO),428912.98,
SHREE BALAJI MOBILE CENTRE (KASNA) (OPPO),629304.52,
SHREE RAM MOBILE GALLERY (DADRI) (OPPO),106852,
SHRI BALAJI COMMUNICATION (KASNA) (OPPO),129,
SHRI BALAJI ELECTRONICS (ALPHA-2)(OPPO),,2510
SHRI SAHIB JI MOBILE SOLUTION-2 (DADRI) (OPPO),624702,
SHRI SAHIB JI MOBILE SOLUTION (DADRI) (OPPO),25991.02,
SHUBH MOBILE ZONE (DADRI) (OPPO),44623,
SHYAM LAL & SONS (OPPO),750826.07,
S.M TRADERS (KASNA) (OPPO),654977,
S N COMMUNICATION (HALDONI) (OPPO),633264.36,
S N COMMUNICATION (OPPO),47500,
SONU COMMUNICATION (DADRI) (OPPO),161,
SONY ELECTRONICS (SURAJPUR)(OPPO),149518,
STAR MOBILE SHOP (DADRI) (OPPO),4602,
STAR TELCOM CENTER (GEJHA) (OPPO),64513,
SUHANA COMM (DADRI)(OPPO),,487
SUSSHMA MOBILE POINT (TUGALPUR) (OPPO),12389.16,
TANISH TELECOM (SURAJPUR) (OPPO),382490,
THE MOBILE CAFE (AICHHER) (OPPO),370,
THE MOBILE HUB (GREATER NOIDA) (OPPO),,400
THE MOBILE LIFE (ANSAL PLAZA) (OPPO),13872.1,
T.K. TELEOM (KASNA) (OPPO),5422.02,
TOMAR ELECTRONICS (SEC-141) (OPPO),407618,
UNIQUE TELECOM(OPPO),,1540
UNIVERSHAL MOBILE CAFE (ANSAL PLAZA) (OPPO),228693,
VAISHNAVI TELECOM (ANSAL PLAZA) (OPPO),,1205
VAISHNAV TELECOM (ANSAL PLAZA) (OPPO),136823,
VIKKY COMMUNICATION (SURAJPUR) (OPPO),27000.5,
VISHAL MOBILE HOUSE (JAGAT FARM) (OPPO),409411,
V.K MOBILE POINT (HALDONI) (OPPO),545908.62,
YASH SANCHAR WORLD (DADRI) (OPPO),13333,
Grand Total,26628145.72,474412.67