MODEL,COLOUR,PURCHASE,10-Mar,TOTAL SALE,STOCK IN TRNSCTION,CLSOING STOCK,SCAN STOCK
OPPO A16K & E (3+32GB),BLACK,,,0,,0,4
OPPO A16K & E (3+32GB),WHITE,,,0,,0,1
OPPO A16K & E (4+64GB),BLACK,,,0,,0,1
OPPO A17K (3+64GB),BLUE,55,12,34,,46,
OPPO A17K (3+64GB),GOLD,20,17,31,,24,
OPPO A17K (3+64GB),NAVY BLUE,30,14,32,,22,2
OPPO A17 (4+64GB),BLACK,,13,48,,0,4
OPPO A17 (4+64GB),BLUE,70,18,73,16,65,2
OPPO A17 (4+64GB),ORANGE,41,8,39,15,69,2
OPPO A55 (4+128GB),BLACK,20,9,30,8,26,
OPPO A55 (4+128GB),BLUE,8,16,28,,13,
OPPO A55 (4+128GB),GREEN,30,13,26,15,29,
OPPO A55 (4+64GB),BLACK,,,0,,0,1
OPPO A57 (4+64GB),BLACK,31,11,45,,21,1
OPPO A57 (4+64GB),GOLD,50,10,49,,43,1
OPPO A57 (4+64GB),GREEN,,3,36,,5,1
OPPO A77 (4+128GB),BLUE,20,25,57,13,20,
OPPO A77 (4+128GB),ORANGE,5,6,16,5,14,
OPPO A77s (8+128GB),BLACK,10,6,23,,4,1
OPPO A77s (8+128GB),ORANGE,5,1,9,,2,
OPPO A78 5G (8+128GB),BLACK,34,,34,,0,0
OPPO A78 5G (8+128GB),BLUE,43,,43,,0,0
OPPO A96 (8+128GB),BLUE,,,0,,0,1
OPPO F21s Pro (8+128GB),BLACK,5,1,5,,5,
OPPO F21s Pro (8+128GB),GOLD,10,2,15,5,21,1
OPPO F21s Pro 5G (8+128GB),BLACK,,,2,,0,
OPPO F21s Pro 5G (8+128GB),GOLD,15,6,23,5,21,
OPPO Reno6 Pro 5G (12+256GB),AURORA,,,0,,1,
OPPO Reno7 5G (8+256GB),BLACK,,,0,,1,1
OPPO Reno7 5G (8+256GB),BLUE,,,0,,1,
OPPO Reno8 T 5G (8+128GB),BLACK,26,6,25,,1,0
OPPO Reno8 T 5G (8+128GB),GOLD,23,6,26,,0,1
OPPO PAD AIR (4+128GB),GREY,,,0,,4,
TOTAL,,551,203,749,82,458,25